shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
11146,49.69734,-123.15613,0,0
11146,49.69718,-123.1562,1,20
11146,49.69673,-123.15496,2,122
11146,49.69781,-123.15396,3,266
11146,49.69998,-123.15223,4,542
11146,49.70024,-123.15191,5,585
11146,49.70158,-123.15089,6,756
11146,49.702,-123.15045,7,818
11146,49.70271,-123.15001,8,908
11146,49.70354,-123.14887,9,1030
11146,49.70382,-123.14793,10,1108
11146,49.70395,-123.14767,11,1136
11146,49.70428,-123.14604,12,1256
11146,49.70422,-123.14564,13,1285
11146,49.70399,-123.14539,14,1316
11146,49.70262,-123.14476,15,1475
11146,49.70077,-123.14462,16,1679
11146,49.69987,-123.14442,17,1779
11146,49.69846,-123.14381,18,1940
11146,49.69791,-123.14369,19,2001
11146,49.69694,-123.14391,20,2108
11146,49.69546,-123.14475,21,2283
11146,49.69513,-123.14492,22,2320
11146,49.6951,-123.14463,23,2340
11146,49.69523,-123.1443,24,2369
11146,49.69614,-123.14385,25,2473
11146,49.69731,-123.14249,26,2634
11146,49.69775,-123.14212,27,2689
11146,49.69786,-123.14198,28,2709
11146,49.69889,-123.14156,29,2833
11146,49.69994,-123.14019,30,2990
11146,49.70019,-123.1401,31,3021
11146,49.70049,-123.13989,32,3056
11146,49.7008,-123.13816,33,3187
11146,49.70136,-123.13723,34,3282
11146,49.70157,-123.13718,35,3304
11146,49.70181,-123.13741,36,3333
11146,49.70236,-123.13639,37,3435
11146,49.70258,-123.136,38,3472
11146,49.70279,-123.13604,39,3496
11146,49.70299,-123.1365,40,3534
11146,49.70319,-123.13666,41,3557
11146,49.7034,-123.13671,42,3580
11146,49.70343,-123.13709,43,3610
11146,49.70339,-123.1375,44,3642
11146,49.70342,-123.13934,45,3773
11146,49.70325,-123.13931,46,3801
11146,49.70307,-123.13904,47,3831
11146,49.70299,-123.13876,48,3855
11146,49.70247,-123.13794,49,3936
11146,49.70199,-123.1377,50,3989
11146,49.7018,-123.13754,51,4016
11146,49.70172,-123.13729,52,4038
11146,49.7015,-123.13716,53,4062
11146,49.70125,-123.13741,54,4094
11146,49.70088,-123.1381,55,4158
11146,49.7006,-123.13949,56,4261
11146,49.70043,-123.14006,57,4305
11146,49.70012,-123.14013,58,4338
11146,49.69962,-123.14077,59,4410
11146,49.69889,-123.14156,60,4511
11146,49.69786,-123.14207,61,4631
11146,49.69731,-123.14249,62,4698
11146,49.69662,-123.14338,63,4799
11146,49.69629,-123.14372,64,4846
11146,49.69608,-123.14369,65,4878
11146,49.69615,-123.14323,66,4912
11146,49.69687,-123.14103,67,5089
11146,49.69707,-123.14055,68,5129
11146,49.6976,-123.13981,69,5207
11146,49.69781,-123.1393,70,5249
11146,49.69787,-123.13892,71,5277
11146,49.69784,-123.13846,72,5310
11146,49.69765,-123.13806,73,5349
11146,49.69718,-123.13657,74,5472
11146,49.69714,-123.13626,75,5494
11146,49.69746,-123.13434,76,5636
11146,49.69759,-123.13335,77,5712
11146,49.69804,-123.13124,78,5877
11146,49.69821,-123.13021,79,5952
11146,49.69872,-123.12913,80,6054
11146,49.69931,-123.12802,81,6163
11146,49.69989,-123.12679,82,6271
11146,49.70025,-123.12508,83,6405
11146,49.70039,-123.12484,84,6431
11146,49.70183,-123.12561,85,6600
11146,49.70214,-123.12571,86,6639
11146,49.70333,-123.12649,87,6787
11146,49.70316,-123.12728,88,6850
11146,49.70263,-123.12927,89,7008
11146,49.70185,-123.13106,90,7162
11146,49.7016,-123.13167,91,7217
11146,49.70095,-123.13286,92,7328
11146,49.70083,-123.1331,93,7349
11146,49.7004,-123.13457,94,7468
11146,49.70002,-123.13545,95,7543
11146,49.69973,-123.13582,96,7584
11146,49.69832,-123.13705,97,7766
11146,49.69756,-123.13767,98,7864
11146,49.69784,-123.13846,99,7928
11146,49.69787,-123.13892,100,7961
11146,49.69781,-123.1393,101,7989
11146,49.6976,-123.13981,102,8031
11146,49.697,-123.14068,103,8121
11146,49.6964,-123.14241,104,8261
11146,49.69626,-123.14301,105,8310
11146,49.69615,-123.14323,106,8332
11146,49.69607,-123.1435,107,8353
11146,49.69614,-123.14385,108,8379
11146,49.69527,-123.14433,109,8481
11146,49.6953,-123.14459,110,8502
11146,49.69664,-123.14391,111,8660
11146,49.69738,-123.14357,112,8745
11146,49.69824,-123.14356,113,8839
11146,49.69976,-123.14419,114,9014
11146,49.70066,-123.14446,115,9114
11146,49.70222,-123.14453,116,9286
11146,49.70392,-123.14512,117,9479
11146,49.70447,-123.14536,118,9540
11146,49.70401,-123.14812,119,9746
11146,49.70343,-123.14931,120,9854
11146,49.70158,-123.15089,121,10088
11146,49.7016,-123.15239,122,10196
11146,49.70165,-123.15312,123,10252
11146,49.70162,-123.15401,124,10320
11146,49.70084,-123.15469,125,10420
11146,49.70001,-123.15538,126,10524
11146,49.69924,-123.15603,127,10621
11146,49.69879,-123.15485,128,10718
11146,49.69734,-123.15613,129,10906
11155,49.74732,-123.11044,0,0
11155,49.74714,-123.11191,1,110
11155,49.74719,-123.11235,2,141
11155,49.7468,-123.1127,3,193
11155,49.74662,-123.11299,4,225
11155,49.74577,-123.11198,5,343
11155,49.74556,-123.11182,6,367
11155,49.74531,-123.11178,7,394
11155,49.74461,-123.11206,8,472
11155,49.74326,-123.11247,9,623
11155,49.74293,-123.11258,10,659
11155,49.74274,-123.11296,11,698
11155,49.74247,-123.11429,12,799
11155,49.74235,-123.11454,13,819
11155,49.74121,-123.11546,14,961
11155,49.74063,-123.11579,15,1027
11155,49.74037,-123.11581,16,1054
11155,49.74041,-123.1161,17,1079
11155,49.74038,-123.11634,18,1099
11155,49.74044,-123.11662,19,1119
11155,49.74026,-123.11673,20,1141
11155,49.74003,-123.11665,21,1166
11155,49.73907,-123.11696,22,1273
11155,49.73795,-123.11783,23,1408
11155,49.73681,-123.11919,24,1567
11155,49.73622,-123.12028,25,1668
11155,49.73554,-123.12281,26,1865
11155,49.73541,-123.12325,27,1900
11155,49.73507,-123.12344,28,1939
